OBJECTID,GRIDCODE,Shape_Length,Shape_Area,SUBBASIN,LU_NUM,LU_CODE,SOIL_NUM,SOIL_CODE,SLOPE_NUM,SLOPE_CODE,MEAN_SLOPE,AREA,UNIQUECOMB,HRUGIS
135,135,190775.158791922960000,3041889.775078637500000,4,42,FRSE,9768,WA229,3,45-66,54.913364410400391,304.188977670879130,4_FRSE_WA229_45-66,000040030
136,136,69100.861396044958000,711958.992561614960000,4,71,RNGE,9768,WA229,3,45-66,57.337127685546875,71.195899294324889,4_RNGE_WA229_45-66,000040062
137,137,27883.693153210916000,240318.288102993950000,4,71,RNGE,9768,WA229,2,23-45,35.729869842529297,24.031828823174649,4_RNGE_WA229_23-45,000040064
138,138,74018.530915800948000,1019746.318768636200000,4,71,RNGE,9768,WA229,4,66-96,77.541007995605469,101.974631931492420,4_RNGE_WA229_66-96,000040065
139,139,4157.205161024350700,39196.298326959346000,2,31,SWRN,9782,WA243,4,66-96,78.926956176757812,3.919629834795866,2_SWRN_WA243_66-96,000020016
140,140,2230.695452256128200,21204.554832615031000,2,31,SWRN,9782,WA243,999,96-9999,110.552246093750000,2.120455484397763,2_SWRN_WA243_96-9999,000020015
141,141,2433.485947916749900,46264.483271146652000,2,95,WETN,9864,WA325,1,0-23,3.684589147567749,4.626448329595119,2_WETN_WA325_0-23,000020109
142,142,2129.300204426981500,21204.554832620932000,2,31,SWRN,9782,WA243,3,45-66,57.408290863037109,2.120455484397763,2_SWRN_WA243_45-66,000020017
143,143,15513.472917968873000,154214.944237242070000,2,71,RNGE,9782,WA243,3,45-66,55.879615783691406,15.421494431983733,2_RNGE_WA243_45-66,000020082
144,144,10139.524782988708000,104095.087360161120000,2,71,RNGE,9782,WA243,4,66-96,75.892379760742187,10.409508741589018,2_RNGE_WA243_66-96,000020081
145,145,21090.211548615247000,213973.235129141070000,2,52,RNGB,9782,WA243,2,23-45,35.522140502929687,21.397323524377427,2_RNGB_WA243_23-45,000020061
146,146,28948.343255424406000,271803.839218067010000,2,52,RNGB,9782,WA243,3,45-66,54.838382720947266,27.180383936371328,2_RNGB_WA243_45-66,000020063
147,147,202.790495659690350,1927.686802967149100,2,41,FRSD,9864,WA325,3,45-66,57.942592620849609,0.192768680399797,2_FRSD_WA325_45-66,000020033
148,148,5221.855263239704100,44336.796468203116000,4,71,RNGE,9768,WA229,1,0-23,15.680820465087891,4.433679649195323,4_RNGE_WA229_0-23,000040063
149,149,90191.072944671847000,1046091.371742512700000,4,52,RNGB,9768,WA229,4,66-96,76.353202819824219,104.609137230289660,4_RNGB_WA229_66-96,000040048
150,150,57389.710271696094000,613004.403342715230000,4,52,RNGB,9768,WA229,2,23-45,36.030723571777344,61.300440367135337,4_RNGB_WA229_23-45,000040049
151,151,253.488119573798030,2570.249070613028400,2,41,FRSD,9864,WA325,2,23-45,32.163700103759766,0.257024907199729,2_FRSD_WA325_23-45,000020032
